 ;SB 5000TL-20 442 / current / Wartości średnie  [A]0
13:00. 25;"0,000"
13:15. 25;"0,000"
13:30. 25;"0,000"
13:45. 25;"0,000"
14:00. 25;"0,000"
14:15. 25;"0,000"
14:30. 25;"0,000"
14:45. 25;"0,000"
15:00. 25;"0,000"
15:15. 25;"0,620"
15:30. 25;"1,670"
15:45. 25;"1,930"
16:00. 25;"2,050"
16:15. 25;"2,400"
16:30. 25;"3,370"
16:45. 25;"4,020"
17:00. 25;"4,260"
17:15. 25;"3,020"
17:30. 25;"2,330"
17:45. 25;"2,750"
18:00. 25;"3,360"
18:15. 25;"2,190"
18:30. 25;"1,380"
18:45. 25;"1,080"
19:00. 25;"0,630"
19:15. 25;"0,490"
19:30. 25;"0,380"
19:45. 25;"0,290"
20:00. 25;"0,120"
20:15. 25;"0,000"
20:30. 25;
20:45. 25;
21:00. 25;
21:15. 25;
21:30. 25;
21:45. 25;
22:00. 25;
22:15. 25;
22:30. 25;
22:45. 25;
23:00. 25;
23:15. 25;
23:30. 25;
23:45. 25;
00:00. 26;
00:15. 26;
00:30. 26;
00:45. 26;
01:00. 26;
01:15. 26;
01:30. 26;
01:45. 26;
02:00. 26;
02:15. 26;
02:30. 26;
02:45. 26;
03:00. 26;
03:15. 26;
03:30. 26;
03:45. 26;
04:00. 26;
04:15. 26;
04:30. 26;
04:45. 26;
05:00. 26;
05:15. 26;
05:30. 26;
05:45. 26;"0,000"
06:00. 26;"0,010"
06:15. 26;"0,150"
06:30. 26;"0,290"
06:45. 26;"0,760"
07:00. 26;"1,460"
07:15. 26;"2,000"
07:30. 26;"1,730"
07:45. 26;"0,760"
08:00. 26;"0,860"
08:15. 26;"4,770"
08:30. 26;"9,870"
08:45. 26;"11,100"
09:00. 26;"12,160"
09:15. 26;"13,220"
09:30. 26;"14,020"
09:45. 26;"14,740"
10:00. 26;"15,440"
10:15. 26;"16,020"
10:30. 26;"16,600"
10:45. 26;"17,060"
11:00. 26;"17,320"
11:15. 26;"17,470"
11:30. 26;"17,810"
11:45. 26;"17,820"
12:00. 26;"18,010"
12:15. 26;"18,050"
12:30. 26;"17,880"
12:45. 26;"17,830"
13:00. 26;"17,470"
13:15. 26;"17,220"
13:30. 26;"16,720"
13:45. 26;"16,660"
14:00. 26;"16,240"
14:15. 26;"15,710"
14:30. 26;"15,120"
14:45. 26;"14,630"
15:00. 26;"13,990"
15:15. 26;"13,190"
15:30. 26;"12,340"
15:45. 26;"11,350"
16:00. 26;"10,430"
16:15. 26;"9,330"
16:30. 26;"8,330"
16:45. 26;"7,170"
17:00. 26;"5,980"
17:15. 26;"4,760"
17:30. 26;"3,600"
17:45. 26;"2,520"
18:00. 26;"1,580"
18:15. 26;"1,000"
18:30. 26;"0,740"
18:45. 26;"0,680"
19:00. 26;"0,610"
19:15. 26;"0,490"
