 ;SB 5000TL-20 442 / voltage / Wartości średnie  [V]0
15:30. 20;"243,850"
15:45. 20;"243,630"
16:00. 20;"243,130"
16:15. 20;"243,210"
16:30. 20;"242,760"
16:45. 20;"241,650"
17:00. 20;"241,650"
17:15. 20;"240,960"
17:30. 20;"240,600"
17:45. 20;"240,250"
18:00. 20;"239,770"
18:15. 20;"240,300"
18:30. 20;"239,270"
18:45. 20;"241,510"
19:00. 20;"243,360"
19:15. 20;"243,510"
19:30. 20;"243,030"
19:45. 20;"242,630"
20:00. 20;"242,520"
20:15. 20;"241,430"
20:30. 20;
20:45. 20;
21:00. 20;
21:15. 20;
21:30. 20;
21:45. 20;
22:00. 20;
22:15. 20;
22:30. 20;
22:45. 20;
23:00. 20;
23:15. 20;
23:30. 20;
23:45. 20;
00:00. 21;
