 ;SB 5000TL-20 442 / Power / Wartości średnie  [W]0
16:30. 5;"977,790"
16:45. 5;"718,400"
17:00. 5;"1114,280"
17:15. 5;"685,620"
17:30. 5;"557,050"
17:45. 5;"327,000"
18:00. 5;"324,420"
18:15. 5;"250,760"
18:30. 5;"141,210"
18:45. 5;"208,120"
19:00. 5;"143,550"
19:15. 5;"55,820"
19:30. 5;"11,950"
19:45. 5;"0,000"
20:00. 5;
20:15. 5;
20:30. 5;
20:45. 5;
21:00. 5;
21:15. 5;
21:30. 5;
21:45. 5;
22:00. 5;
22:15. 5;
22:30. 5;
22:45. 5;
23:00. 5;
23:15. 5;
23:30. 5;
23:45. 5;
00:00. 6;
00:15. 6;
00:30. 6;
00:45. 6;
01:00. 6;
01:15. 6;
01:30. 6;
01:45. 6;
02:00. 6;
02:15. 6;
02:30. 6;
02:45. 6;
03:00. 6;
03:15. 6;
03:30. 6;
03:45. 6;
04:00. 6;
04:15. 6;
04:30. 6;
04:45. 6;
05:00. 6;
05:15. 6;
05:30. 6;
05:45. 6;
06:00. 6;
06:15. 6;
06:30. 6;
06:45. 6;"3,970"
07:00. 6;"32,370"
07:15. 6;"78,420"
07:30. 6;"172,160"
07:45. 6;"258,130"
08:00. 6;"299,840"
08:15. 6;"346,880"
08:30. 6;"426,680"
08:45. 6;"526,100"
09:00. 6;"616,630"
09:15. 6;"777,420"
09:30. 6;"1063,500"
09:45. 6;"1144,940"
10:00. 6;"1203,720"
10:15. 6;"1191,630"
10:30. 6;"801,470"
10:45. 6;"435,680"
11:00. 6;"619,100"
11:15. 6;"702,260"
11:30. 6;"2571,670"
11:45. 6;"1906,790"
12:00. 6;"1369,160"
12:15. 6;"2044,500"
12:30. 6;"1549,840"
12:45. 6;"1549,840"
13:00. 6;"1650,840"
13:15. 6;"2000,970"
13:30. 6;"1603,900"
13:45. 6;"3102,160"
14:00. 6;"2250,370"
14:15. 6;"1841,420"
14:30. 6;"3364,940"
14:45. 6;"1830,760"
15:00. 6;"1727,370"
15:15. 6;"2166,270"
15:30. 6;"2266,610"
15:45. 6;"1032,810"
16:00. 6;"865,530"
16:15. 6;"1132,320"
16:30. 6;"784,840"
16:45. 6;"480,710"
17:00. 6;"335,790"
17:15. 6;"440,420"
17:30. 6;"533,790"
17:45. 6;"542,390"
18:00. 6;"431,470"
18:15. 6;"315,460"
18:30. 6;"189,000"
18:45. 6;"81,240"
19:00. 6;"58,780"
19:15. 6;"30,550"
19:30. 6;"0,000"
19:45. 6;"0,000"
20:00. 6;
20:15. 6;
20:30. 6;
20:45. 6;
21:00. 6;
21:15. 6;
21:30. 6;
21:45. 6;
22:00. 6;
22:15. 6;
22:30. 6;
22:45. 6;
23:00. 6;
23:15. 6;
23:30. 6;
23:45. 6;
00:00. 7;
