 ;SB 5000TL-20 442 / Grid current phase L1 / Wartości średnie  [A]0
22:15. 4;
22:30. 4;
22:45. 4;
23:00. 4;
23:15. 4;
23:30. 4;
23:45. 4;
00:00. 5;
00:15. 5;
00:30. 5;
00:45. 5;
01:00. 5;
01:15. 5;
01:30. 5;
01:45. 5;
02:00. 5;
02:15. 5;
02:30. 5;
02:45. 5;
03:00. 5;
03:15. 5;
03:30. 5;
03:45. 5;
04:00. 5;
04:15. 5;
04:30. 5;
04:45. 5;
05:00. 5;
05:15. 5;
05:30. 5;
05:45. 5;
06:00. 5;
06:15. 5;
06:30. 5;
06:45. 5;"0,040"
07:00. 5;"0,330"
07:15. 5;"0,650"
07:30. 5;"1,080"
07:45. 5;"1,550"
08:00. 5;"1,960"
08:15. 5;"2,620"
08:30. 5;"2,890"
08:45. 5;"3,280"
09:00. 5;"3,780"
09:15. 5;"3,980"
09:30. 5;"3,750"
09:45. 5;"6,000"
10:00. 5;"7,600"
10:15. 5;"10,250"
10:30. 5;"14,580"
10:45. 5;"15,980"
11:00. 5;"16,780"
11:15. 5;"17,560"
11:30. 5;"17,600"
11:45. 5;"16,940"
12:00. 5;"15,180"
12:15. 5;"15,590"
12:30. 5;"18,580"
12:45. 5;"15,500"
13:00. 5;"12,180"
13:15. 5;"10,730"
13:30. 5;"7,670"
13:45. 5;"7,920"
14:00. 5;"5,980"
14:15. 5;"5,610"
14:30. 5;"4,390"
14:45. 5;"4,890"
15:00. 5;"4,360"
15:15. 5;"4,800"
15:30. 5;"2,530"
15:45. 5;"5,930"
16:00. 5;"4,340"
16:15. 5;"3,090"
16:30. 5;"4,050"
16:45. 5;"2,970"
17:00. 5;"4,600"
17:15. 5;"2,840"
17:30. 5;"2,310"
17:45. 5;"1,360"
18:00. 5;"1,350"
18:15. 5;"1,040"
18:30. 5;"0,590"
18:45. 5;"0,870"
19:00. 5;"0,600"
19:15. 5;"0,230"
19:30. 5;"0,050"
19:45. 5;"0,000"
20:00. 5;
20:15. 5;
20:30. 5;
20:45. 5;
21:00. 5;
21:15. 5;
21:30. 5;
21:45. 5;
22:00. 5;
22:15. 5;
22:30. 5;
22:45. 5;
23:00. 5;
23:15. 5;
23:30. 5;
23:45. 5;
00:00. 6;
00:15. 6;
00:30. 6;
00:45. 6;
01:00. 6;
01:15. 6;
01:30. 6;
01:45. 6;
02:00. 6;
02:15. 6;
02:30. 6;
02:45. 6;
03:00. 6;
03:15. 6;
03:30. 6;
03:45. 6;
04:00. 6;
04:15. 6;
04:30. 6;
04:45. 6;
05:00. 6;
05:15. 6;
05:30. 6;
05:45. 6;
06:00. 6;
06:15. 6;
06:30. 6;
06:45. 6;"0,020"
07:00. 6;"0,140"
07:15. 6;"0,330"
07:30. 6;"0,720"
07:45. 6;"1,070"
08:00. 6;"1,240"
08:15. 6;"1,440"
08:30. 6;"1,780"
08:45. 6;"2,190"
09:00. 6;"2,560"
09:15. 6;"3,210"
09:30. 6;"4,370"
09:45. 6;"4,690"
10:00. 6;"4,950"
10:15. 6;"4,890"
10:30. 6;"3,300"
10:45. 6;"1,810"
11:00. 6;"2,570"
11:15. 6;"2,910"
11:30. 6;"10,460"
11:45. 6;"7,810"
12:00. 6;"5,660"
12:15. 6;"8,400"
12:30. 6;"6,390"
12:45. 6;"6,380"
13:00. 6;"6,790"
13:15. 6;"8,180"
13:30. 6;"6,550"
13:45. 6;"12,540"
14:00. 6;"9,140"
14:15. 6;"7,490"
14:30. 6;"13,590"
14:45. 6;"7,470"
15:00. 6;"7,060"
15:15. 6;"8,790"
15:30. 6;"9,210"
15:45. 6;"4,250"
16:00. 6;"3,570"
16:15. 6;"4,680"
16:30. 6;"3,270"
16:45. 6;"2,000"
17:00. 6;"1,400"
17:15. 6;"1,830"
17:30. 6;"2,220"
17:45. 6;"2,250"
18:00. 6;"1,790"
18:15. 6;"1,310"
18:30. 6;"0,790"
