 ;SB 5000TL-20 442 / Grid voltage phase L1 / Wartości średnie  [V]0
22:15. 4;
22:30. 4;
22:45. 4;
23:00. 4;
23:15. 4;
23:30. 4;
23:45. 4;
00:00. 5;
00:15. 5;
00:30. 5;
00:45. 5;
01:00. 5;
01:15. 5;
01:30. 5;
01:45. 5;
02:00. 5;
02:15. 5;
02:30. 5;
02:45. 5;
03:00. 5;
03:15. 5;
03:30. 5;
03:45. 5;
04:00. 5;
04:15. 5;
04:30. 5;
04:45. 5;
05:00. 5;
05:15. 5;
05:30. 5;
05:45. 5;
06:00. 5;
06:15. 5;
06:30. 5;
06:45. 5;"240,610"
07:00. 5;"240,930"
07:15. 5;"241,170"
07:30. 5;"241,040"
07:45. 5;"241,540"
08:00. 5;"241,510"
08:15. 5;"241,900"
08:30. 5;"242,030"
08:45. 5;"241,720"
09:00. 5;"241,050"
09:15. 5;"241,580"
09:30. 5;"241,460"
09:45. 5;"242,130"
10:00. 5;"242,880"
10:15. 5;"244,550"
10:30. 5;"246,390"
10:45. 5;"246,620"
11:00. 5;"246,240"
11:15. 5;"247,670"
11:30. 5;"248,250"
11:45. 5;"248,100"
12:00. 5;"247,320"
12:15. 5;"247,840"
12:30. 5;"248,740"
12:45. 5;"246,580"
13:00. 5;"245,400"
13:15. 5;"245,160"
13:30. 5;"243,940"
13:45. 5;"244,310"
14:00. 5;"244,010"
14:15. 5;"244,230"
14:30. 5;"243,170"
14:45. 5;"243,120"
15:00. 5;"242,450"
15:15. 5;"242,480"
15:30. 5;"241,910"
15:45. 5;"242,900"
16:00. 5;"242,480"
16:15. 5;"242,070"
16:30. 5;"241,740"
16:45. 5;"241,390"
17:00. 5;"241,690"
17:15. 5;"241,560"
17:30. 5;"241,410"
17:45. 5;"240,980"
18:00. 5;"241,300"
18:15. 5;"241,090"
18:30. 5;"240,130"
18:45. 5;"240,650"
19:00. 5;"240,230"
19:15. 5;"240,240"
19:30. 5;"239,450"
19:45. 5;"238,950"
20:00. 5;
20:15. 5;
20:30. 5;
20:45. 5;
21:00. 5;
21:15. 5;
21:30. 5;
21:45. 5;
22:00. 5;
22:15. 5;
22:30. 5;
22:45. 5;
23:00. 5;
23:15. 5;
23:30. 5;
23:45. 5;
00:00. 6;
00:15. 6;
00:30. 6;
00:45. 6;
01:00. 6;
01:15. 6;
01:30. 6;
01:45. 6;
02:00. 6;
02:15. 6;
02:30. 6;
02:45. 6;
03:00. 6;
03:15. 6;
03:30. 6;
03:45. 6;
04:00. 6;
04:15. 6;
04:30. 6;
04:45. 6;
05:00. 6;
05:15. 6;
05:30. 6;
05:45. 6;
06:00. 6;
06:15. 6;
06:30. 6;
06:45. 6;"242,660"
07:00. 6;"241,540"
07:15. 6;"241,260"
07:30. 6;"240,990"
07:45. 6;"241,500"
08:00. 6;"241,510"
08:15. 6;"241,900"
08:30. 6;"240,510"
08:45. 6;"240,550"
09:00. 6;"240,900"
09:15. 6;"242,320"
09:30. 6;"243,520"
09:45. 6;"243,990"
10:00. 6;"243,350"
10:15. 6;"243,470"
10:30. 6;"242,840"
10:45. 6;"241,500"
11:00. 6;"240,840"
11:15. 6;"241,360"
11:30. 6;"243,900"
11:45. 6;"242,910"
12:00. 6;"242,000"
12:15. 6;"243,160"
12:30. 6;"242,560"
12:45. 6;"242,880"
13:00. 6;"243,080"
13:15. 6;"244,510"
13:30. 6;"244,700"
13:45. 6;"246,650"
14:00. 6;"245,350"
14:15. 6;"245,180"
14:30. 6;"246,890"
14:45. 6;"244,970"
15:00. 6;"244,520"
15:15. 6;"245,830"
15:30. 6;"245,580"
15:45. 6;"242,480"
16:00. 6;"242,370"
16:15. 6;"242,130"
16:30. 6;"240,380"
16:45. 6;"239,940"
17:00. 6;"239,640"
17:15. 6;"241,270"
17:30. 6;"240,340"
17:45. 6;"241,290"
18:00. 6;"241,300"
18:15. 6;"241,360"
